ssn,first name,last name,age,phone,credit card
7777777777,Urra,Jownsson,20,2234567,1234543212345436
0987654321,Sigurgeir,Sigurdsson,23,4234567,1111111111111111
1231231231,Jown,Jhownson,32,1234567,1231231231231234
1233211231,Siggi,Siggson,42,0987876,1234567890987654
0000000000,Jelly,Fish,900,5345348,1231231231231231
2497135689,Jelly,Fish,291,5555555,9999999999999999
9999999999,Jello,Floppy,56,1231238,8888888888888888
1234567890,SS,SSS,23,9988987,0987676547876321
4444444444,Pop,Soda,44,1234567,2222222222222222
1111122222,Thomas,Morrow,21,9090876,0000999988889999
