<<<<<<< HEAD
client,date of order,date of pickup,date of return,license plate,car type,insurance,cost
1231231231,2018-12-13 14:45:51,2018-12-19 00:00:00,2018-12-20 00:00:00,GH231,sedan,lvl1,14000
0987654321,2018-12-13 21:13:46,2018-12-13 00:00:00,2018-12-15 00:00:00,YR589,sedan,lvl1,14000
0000000000,2018-12-13 21:14:15,2018-12-13 00:00:00,2018-12-14 00:00:00,BLE55,jeep,lvl1,35000
1111122222,2018-12-14 11:58:00,2019-01-25 00:00:00,2025-12-11 00:00:00,ADS98,jeep,lvl3,998000
=======
client,date of order,date of pickup,date of return,license plate,car type,insurance,cost
1231231231,2018-12-13 14:45:51,2018-12-19 00:00:00,2018-12-20 00:00:00,GH231,sedan,lvl1,14000
0987654321,2018-12-13 21:13:46,2018-12-13 00:00:00,2018-12-15 00:00:00,YR589,sedan,lvl1,14000
0000000000,2018-12-13 21:14:15,2018-12-13 00:00:00,2018-12-14 00:00:00,BLE55,jeep,lvl1,35000
1234567890,2018-12-14 12:23:01,2018-12-19 00:00:00,2018-12-25 00:00:00,HH123,sedan,lvl1,74000
>>>>>>> b91ac40b69dad63e5ffeae35a1c4b25be8050d70
